Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
24030.8,17,83.1,46.04684017,46.04684017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1873.8,80.4,687.6,297.4853968,222.0229186,330.4,0.023552704,5.5,23.77741241,313.9878226,63063.88212,0.9,38.5
30612.6,17,64,44.76667208,44.76667208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5882.6,66,1023.6,380.3441269,339.7593877,384.4,169402616,13.5,27.62622304,480.9027723,115777.9373,1,244.6
20047.2,12.6,64,28.01250682,28.01250682,0,0,0,0,0.2,0.4,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0.4,0.6,0,0,0,0,1,1,1910.8,66,804.8,337.3409127,302.3144967,285.2,0.017478609,5.5,25.4477321,427.5372613,102706.6641,0.9,38.5
355,6,64,16779.96055,16779.96055,0,0,0,0,0.5,1,0,0,0,0,0,4.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3297.6,66,930,217.4982206,284.2765822,80.9,169402616,13.5,20.85186217,402.7574025,81513.54176,1,244.6
28506.2,14.8,64,31275.54898,31275.54898,0,0,0,0,0.1,0.2,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,1,1,1085.4,68.2,475.6,166.6376984,137.8901077,255.8,0.015665698,5.5,17.91593283,195.0060604,28752.18231,0.9,38.5
37873.8,17,64,44.78964492,44.78964492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3597.8,64,931.6,229.8119813,260.037218,293.6,169402616,13.5,21.37169574,368.5262254,68763.45561,1,244.6
41055.4,17,64,45.36632824,45.36632824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1285.4,68.4,731.2,205.6134921,235.6585055,229.6,0.021707702,5.5,19.74732374,333.2714546,78746.0775,0.9,38.5
44419.4,17,64,45.09220023,45.09220023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4649.4,66,1006,299.2529397,332.737957,370.4,169402616.1,13.5,24.5053837,471.1410482,111093.4428,1,244.6
42830.3,15.9,64,40.79002939,40.79002939,0,0,0,0,0.1,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,1933.6,134.2,812.4,361.0387302,275.4378615,334.6,0.021983409,5.5,26.73704587,389.5279593,86441.5017,0.9,38.5
380.5,6,64,23467.93194,23467.93194,0,0,0,0,0.5,1,0,0,0,0,0,4.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3794.4,66,930,250.7611847,280.8432201,81,169402616.1,13.5,22.3799819,397.883202,79418.07042,1,244.6
25327.6,11.5,64,23.70442382,23.70442382,0,0,0,0,0.2,0.5,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1,847.8,66,398,125.9297619,109.5268056,215.4,0.012019491,5.5,15.41620471,154.8942939,25258.82414,0.9,38.5
26946.7,10.3,101.5,24.60331629,24.60331629,0,0.1,0,0,0.2,0.3,0,0,0.1,0,0,4.2,0,0.3,0,0,0,0,0,0.3,0.5,0,0.2,0,0,0.8,0.8,3546.1,56.4,927.2,229.4830178,283.7726848,251.7,169402616.1,13.5,21.43841262,402.1620193,81296.66657,1,244.6
33064.3,12.6,133.8,248.2201967,248.2201967,0,0,0,0.2,0.1,0.2,0,0,0.2,0,0.3,3.3,0,0.4,0,0,0,0,0,0.4,0.6,0,0,0,0,1,1,966.9,60,466.7,147.6820238,133.116753,211.5,0.016735101,5.5,16.83335312,188.2555174,30201.33326,0.9,38.5
29038.9,11.5,64,27.20493385,27.20493385,0,0.1,0,0,0.2,0.5,0,0,0.4,0,0.6,5.8,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1,3059.4,54,970,196.0822907,254.318999,201.1,169402616.1,13.5,19.82717888,360.344379,65086.09408,1,244.6
58326.6,17,64,43.98132648,43.98132648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1896.6,66,930,349.1157143,336.891966,314.4,0.019453597,5.5,25.8258923,476.4371874,127687.3181,0.9,38.5
48230.4,13.7,57.6,45.12923677,45.12923677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.1,0.1,0,0.9,0.9,3946.8,56.4,1026,259.1005475,301.9395499,129,169402616.2,13.5,22.7585918,427.9144227,91930.90906,1,244.6
64142.6,17,64,46.1815481,46.1815481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3380.6,90,963.6,507.9753968,380.596831,820,0.008761001,5.5,30.89241509,538.2452002,165545.1771,0.9,38.5
74641,17,64,48.0193992,48.0193992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,13879,90,1242,882.7360022,484.9073216,1126.8,169402616.2,13.5,41.95217166,686.8094674,236229.7525,1,244.6
77037.2,15.4,64,49.9090495,49.9090495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0.1,0,1,1,5645.8,707.6,1242,1073.278413,203.1145678,894.8,0.004707313,5.5,46.27183692,287.2473766,52170.60264,0.9,38.5
410.2,6,64,13546.5495,13546.5495,0,0,0,0,0.5,1,0,0,0,0,0,5.1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9377.8,42,1242,624.2625435,473.4477716,78.5,169402616.2,13.5,35.28156352,669.9116672,224878.296,1,244.6
505.8,6,64,12734.38261,12734.38261,0,0,0,0,0.5,1,0,0,0,0,0,6.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,447.2,70.5,111,84.91551587,15.22510087,78.4,4.96E-05,5.5,13.01450572,21.53154414,262.760578,0.9,38.5
90830.2,17,64,50.14036018,50.14036018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2478.2,66,742.8,150.9365439,167.9479253,357.6,169402616.2,13.5,17.15072937,238.3999009,38989.59955,1,244.6
94567,17,64,49.40818179,49.40818179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1855,66,794,288.7552381,295.6545895,392.4,0.026693201,5.5,23.31728161,418.1187303,108239.502,0.9,38.5
88715.4,15.3,57.6,48.4197377,48.4197377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.1,0,0,0.9,0.9,6017,64.8,1006,386.7277089,365.6490131,359.4,169402616.3,13.5,27.8457256,517.9026672,134145.1711,1,244.6
61264.8,12.6,64,29.62949236,29.62949236,0,0,0,0,0.2,0.4,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0.4,0.6,0,0,0,0,1,1,2003.2,82.1,1116,374.9410714,419.3442231,292.8,0.018867803,5.5,26.81252895,593.0422876,197690.5834,0.9,38.5
778.4,6,64,2.086735851,2.086735851,0,0,0,0,0.5,1,0,0,0,0,0,9.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3373.6,66,1230,222.5808833,341.8293956,80.9,169402616.3,13.5,21.09338107,484.3521389,117983.9039,1,244.6
83756.2,14.8,64,38.04662065,38.04662065,0,0,0,0,0.1,0.2,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,1,1,1610.2,68.2,642.6,242.3456349,234.3948437,296.2,0.019447994,5.5,21.18114477,331.4843669,79281.05268,0.9,38.5
106929.4,17,64,47.22510992,47.22510992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4285.4,66,942,275.3095506,323.1747175,262.8,169402616.3,13.5,23.48538093,457.9510953,104959.5063,1,244.6
110064.2,17,64,47.41346711,47.41346711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1830.2,75.6,783.6,326.6107937,304.7447073,302,0.020481706,5.5,25.25913137,430.9740981,103874.8676,0.9,38.5
102114.4,15.3,57.6,47.22667464,47.22667464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.1,0,0,0.9,0.9,5385.4,64.8,932.4,347.5160171,327.8268582,380.2,169402616.4,13.5,26.41111424,464.0146175,107838.0084,1,244.6
81543.7,13.7,80.8,39.53756888,39.53756888,0,0,0,0,0.3,0.3,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0.3,0.7,0,0,0,0,1,1,1512.3,77.7,672.6,246.2304762,209.5985267,261.6,0.018037796,5.5,21.88546524,296.4170791,57064.34969,0.9,38.5
1013.7,6,64,2.275345108,2.275345108,0,0,0,0,0.5,1,0,0,0,0,0,12.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3057.5,66,930,201.432205,236.10066,80.5,169402616.4,13.5,20.06471146,334.5370359,56216.63151,1,244.6
83151.9,14.8,64,34.53081912,34.53081912,0,0,0,0,0,0.2,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,1,1,1235.8,66,568.4,184.2779365,180.7842443,310.4,0.016966796,5.5,18.61774995,255.6675302,49532.8494,0.9,38.5
121397.4,17,64,46.65940658,46.65940658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4485.4,66,934,288.0726106,307.1011576,288.4,169402616.4,13.5,24.03006085,435.1234656,94730.42702,1,244.6
112439.4,17,83.1,41.86110876,41.86110876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2164.2,66,925.2,378.6742857,349.6370225,345.6,0.022710109,5.5,26.95990418,494.4614192,137080.0934,0.9,38.5
115625.2,15.3,57.6,46.07163938,46.07163938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.1,0,0,0.9,0.9,5915.2,64.2,1230,383.8226369,398.8187797,421,169402616.5,13.5,27.59050831,562.4337521,158322.6383,1,244.6
39773.4,9.3,61.8,19.41269169,19.41269169,0,0,0,0,0.4,0.7,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0.7,0.3,0,0,0,0,1,1,1321.2,119.8,604,289.5905159,203.6927181,182.5,0.011635208,5.5,23.67527259,288.0650045,46495.84712,0.9,38.5
968.6,6,64,1.959817624,1.959817624,0,0,0,0,0.5,1,0,0,0,0,0,12.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2271.8,66,604,149.1728659,166.3684376,78.2,169402616.5,13.5,17.2741135,235.7191319,27932.34439,1,244.6
119558.8,15.9,64,42.09938274,42.09938274,0,0,0,0,0.1,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,1944.8,157.6,1022.8,410.9362698,337.0817049,345.8,0.018377709,5.5,28.10948062,476.7055187,127749.2938,0.9,38.5
109252.8,14.8,61.8,37.96462552,37.96462552,0,0,0,0,0.2,0.2,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,1,1,6120.8,66,1230,392.1326095,387.9435562,487.2,169402616.6,13.5,27.97042426,549.8899586,151354.345,1,244.6
125454.4,15.9,64,41.61840269,41.61840269,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,1459.4,66,738,249.5179365,257.7393182,256.4,0.015804791,5.5,21.99510985,364.4984393,76000.68209,0.9,38.5
127550.6,15.9,64,41.80017891,41.80017891,0,0,0,0,0.1,0.1,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,4030,66,946,256.8585696,281.8108459,317.4,169402616.6,13.5,22.67617318,399.3948528,79932.33264,1,244.6
145948.6,17,64,46.10964695,46.10964695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3180.6,66,824,432.6606349,331.295124,818.8,0.006632495,5.5,27.33025539,468.5220575,162685.5843,0.9,38.5
140998.2,15.3,57.6,47.15694534,47.15694534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.1,0,0,0.9,0.9,13982.2,63.6,1242,901.7964788,504.2955596,1011,169402616.6,13.5,42.42184106,714.2222862,255296.7005,1,244.6
148189.4,15.9,61.8,43.81953789,43.81953789,0,0,0,0,0.1,0.1,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,3658,402.2,1242,788.7223016,292.4839254,542.2,0.012396812,5.5,39.25420049,413.6347341,104509.507,0.9,38.5
17737.6,7.1,64,6.764675742,6.764675742,0,0,0,0,0.5,0.9,0,0,0,0,0,14.9,0,0,0,0,0,0,0,0.9,0.1,0,0,0,0,1,1,5833.7,66,1242,387.3312203,384.6872507,77.9,169402616.6,13.5,27.79266795,544.9414271,148613.1234,1,244.6
34340.8,8.2,64,11.31375742,11.31375742,0,0,0,0,0.3,0.8,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0.8,0.2,0,0,0,0,1,1,697.5,66,359.4,108.4778175,94.25560522,164.9,0.006386685,5.5,14.44914011,133.2975552,23174.86477,0.9,38.5
168523,17,64,47.78032555,47.78032555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3262,66,954,207.3404012,272.6853842,258,169402616.6,13.5,20.35888422,386.3197157,75063.6264,1,244.6
154904,15.9,64,43.57466867,43.57466867,0,0,0,0,0.1,0.1,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,2540.4,222.6,1042,556.9756349,318.3574264,360.6,0.019162989,5.5,32.88424747,450.2253901,113982.759,0.9,38.5
174141.8,17,64,47.8011574,47.8011574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5191.8,66,1173.6,334.6544899,366.0534822,296.4,169402616.7,13.5,25.90523581,518.5879934,135135.8245,1,244.6
177527.8,17,64,47.71172905,47.71172905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2007.8,171.6,934.8,430.4571429,306.2246982,348,0.02213192,5.5,28.8419044,433.0671213,105216.6346,0.9,38.5
55113.8,9.3,61.8,15.77070346,15.77070346,0,0,0,0,0.4,0.7,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0.7,0.3,0,0,0,0,1,1,5157,66,946,340.6359979,328.165171,207.8,169402616.7,13.5,26.09470677,464.6735771,108096.312,1,244.6
948.6,6,64,9534.037,9534.037,0,0,0,0,0.5,1,0,0,0,0,0,11.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,441.2,67.8,105.6,80.8515873,13.87588257,78.1,9.46E-05,5.5,12.71374524,19.62346131,220.4586494,0.9,38.5
36620,8.2,64,9996.870145,9996.870145,0,0,0,0,0.4,0.8,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0.8,0.2,0,0,0,0,1,1,1371,66,274.8,86.25499494,48.08294618,164.1,169402616.7,13.5,13.07700486,68.68229698,7426.827946,1,244.6
164975.8,15.9,64,43.13241305,43.13241305,0,0,0,0,0,0.1,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,1776.2,136.4,745.2,344.9820635,234.3241078,306.4,0.021202803,5.5,26.13474874,331.3843312,62265.50758,0.9,38.5
167474.5,17,64,47.24639703,47.24639703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5677.5,66,924.9,363.8617351,311.6730292,427.7,169402616.8,13.5,27.00918704,440.8601736,97518.46419,1,244.6
170771.4,15.9,64,42.89360642,42.89360642,0,0,0,0,0.1,0.1,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,2103,113.2,797.6,388.4348413,270.9337834,351.8,0.021001911,5.5,27.77548321,383.158231,84365.69775,0.9,38.5
192126.2,17,64,47.08702431,47.08702431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5304.2,66,1038,343.3111425,327.8069979,339.6,169402616.8,13.5,26.23543359,464.3656609,107920.8909,1,244.6
40165.8,8.2,64,11.11992695,11.11992695,0,0,0,0,0.4,0.8,0,0,0,0,0,16,0,0,0,0,0,0,0,0.8,0.2,0,0,0,0,1,1,1131,72.6,759.6,228.4584921,260.8132594,157.9,0.007326293,5.5,20.90149121,368.8456486,77732.94524,0.9,38.5
78951.3,11.5,81.3,24.37902888,24.37902888,0,0,0,0,0.2,0.5,0,0,0,0,0,9.2,0,0.1,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1,2729,64.8,900.4,170.2688647,236.349941,297.3,169402616.8,13.5,18.38996421,335.032892,58430.50752,1,244.6
178414.7,15.9,70.4,42.02845622,42.02845622,0,0,0,0,0,0.1,0,0,0,0,0,0.7,0,0.1,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,1921.8,72,702.8,329.8011111,270.0665337,335.2,0.023115897,5.5,25.34752281,381.9317547,83068.14577,0.9,38.5
201003,17,64,46.55568275,46.55568275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4713,54,896.4,303.2870812,309.5800275,304,169402616.9,13.5,24.50970831,435.7114712,95035.51414,1,244.6
204373.8,17,64,46.57577501,46.57577501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1691.8,66,795.6,294.0815873,296.6317868,293.2,0.022884989,5.5,23.80695728,419.5006959,98565.804,0.9,38.5
145734.8,13.7,64,33.11903117,33.11903117,0,0,0,0,0.2,0.3,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0.3,0.7,0,0,0,0,1,1,5191.2,66,992.4,334.7497794,328.1609114,337,169402616.9,13.5,25.90791592,464.7979267,108241.3103,1,244.6
1163,6,64,1.439414446,1.439414446,0,0,0,0,0.5,1,0,0,0,0,0,14.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,413.7,66,85.8,74.40202381,9.176143914,76.3,0.000154996,5.5,12.19593068,12.97702717,93.66396698,0.9,38.5
63764.2,9.3,64,14.93742147,14.93742147,0,0,0,0,0.3,0.7,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0.7,0.3,0,0,0,0,1,1,1418.4,66,266,88.3207163,49.54657928,214.2,169402616.9,13.5,13.06322501,67.87036621,7579.965769,1,244.6
169625.6,15.9,61.8,37.18860734,37.18860734,0,0,0,0,0.1,0.1,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,1420.2,90.4,628.6,245.0397619,194.9653849,333,0.021643114,5.5,22.01682539,275.7226915,48056.93744,0.9,38.5
193822.8,15.9,64,41.6728013,41.6728013,0,0,0,0,0,0.1,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,5116.6,66,962.8,329.8344963,329.9448968,336,169402617,13.5,25.72761241,467.1924057,109286.4471,1,244.6
195778.8,17,83.1,41.41263153,41.41263153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1438.2,94.8,663.6,249.8834921,190.2425797,265.6,0.015290022,5.5,22.2584054,269.0436364,49103.43615,0.9,38.5
220330.6,17,64,46.21341815,46.21341815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4464.6,66,995.6,285.0584526,289.5226225,448,169402617,13.5,23.66622448,402.4965666,81802.42607,1,244.6
229833,17,64,46.76519646,46.76519646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,6831,1242,1242,1242,0,1242,0.000513005,5.5,49.83974318,0,0,0,38.5
216916.4,15.9,64,42.98502501,42.98502501,0,0,0,0,0.1,0.1,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,17536.8,656.4,1242,1147.919391,178.2808005,737.4,169402617,13.5,47.92782174,251.589814,55301.44632,0.7,244.6
74052.8,9.3,69.9,20.27619722,20.27619722,0,0,0,0,0.3,0.7,0,0,0,0,0,14.2,0,0.1,0,0,0,0,0,0.7,0.3,0,0,0,0,1,1,1394.4,105.6,788,278.5086905,250.2898325,201,0.006479406,5.5,23.39651484,353.9632756,73072.90897,0.9,38.5
98875.2,10.4,64,20.23784768,20.23784768,0,0,0,0,0.3,0.6,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0.6,0.4,0,0,0,0,1,1,2542.4,66,938,165.9558809,227.0328857,121,169402617,13.5,18.21838141,321.797496,52027.18537,1,244.6
222074.8,15.9,64,43.89671925,43.89671925,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,2140.2,87.2,790,362.2587302,283.6960062,409.2,0.024239779,5.5,26.71242816,401.2067396,94658.36915,0.9,38.5
249976.6,17,64,47.12878812,47.12878812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5588.6,66,1144.8,361.4743243,369.8087297,323.2,169402617.1,13.5,26.86340647,524.3205064,137941.5807,1,244.6
253508.6,17,64,46.97931958,46.97931958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1796.6,110.8,716.8,303.9407937,235.9825507,387.2,0.02612319,5.5,24.33301335,333.7297237,69639.18829,0.9,38.5
103860.8,10.4,64,19.98185704,19.98185704,0,0,0,0,0.3,0.6,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0.6,0.4,0,0,0,0,1,1,5463.4,77.4,930,357.744554,330.4295208,217.7,169402617.1,13.5,26.76625444,467.7955281,109463.971,1,244.6
104590,10.4,64,19.93597686,19.93597686,0,0,0,0,0.3,0.6,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0.6,0.4,0,0,0,0,1,1,726.8,70.5,321.8,116.5648413,82.48488595,215.8,0.008671308,5.5,15.05928747,116.6512444,14768.60989,0.9,38.5
261288.6,17,64,46.40906548,46.40906548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4482.6,66,944.8,283.9887348,322.8678347,442.8,169402617.2,13.5,23.64216255,452.6177295,102831.5884,1,244.6
264987.4,17,64,46.2697411,46.2697411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1595.4,68.4,762,266.3838095,262.6490634,294,0.022125697,5.5,22.5316269,371.4418676,86394.74785,0.9,38.5
268110.2,17,64,46.23569846,46.23569846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4718.2,66,1170,303.5723714,345.2043057,348.4,169402617.2,13.5,24.57371332,488.8555291,120175.1733,1,244.6
217418.6,14.8,64,37.39244481,37.39244481,0,0,0,0,0.1,0.2,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,1,1,1721.2,73.2,685.2,271.464127,244.4587117,287.3,0.015822196,5.5,22.59095894,345.7168255,83644.20501,0.9,38.5
1472,6,64,1.485629342,1.485629342,0,0,0,0,0.5,1,0,0,0,0,0,19.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3289.6,66,946,217.2626653,277.8679613,75,169402617.2,13.5,20.83579114,393.6796639,77843.52557,1,244.6
